postcode,lat,lon
B75BA,52.49441,-1.87531
B75BX,52.49418,-1.87208
B75HA,52.49566,-1.87208
B75LB,52.50401,-1.86320
B75NS,52.50044,-1.86761
B761JB,52.53553,-1.79092
B761QT,52.54729,-1.81133
B762RD,52.54334,-1.79467
B762SP,52.55651,-1.79219
B769BU,52.52833,-1.76918
B769HF,52.53308,-1.73426
B771AL,52.62718,-1.68831
B771EN,52.61511,-1.68447
B771LQ,52.59700,-1.68492
B772AF,52.62901,-1.68069
B772EA,52.62452,-1.66147
B772HH,52.62106,-1.66524
B772HJ,52.61577,-1.66272
B772LD,52.61780,-1.68049
B772LF,52.61564,-1.67342
B772NE,52.61440,-1.67078
B772SA,52.62372,-1.67104
B773DD,52.63445,-1.66147
B773JX,52.63043,-1.67059
B773NW,52.63482,-1.67475
B774AB,52.63702,-1.65329
B774EG,52.62837,-1.64658
B774EN,52.62880,-1.65176
B774FF,52.63045,-1.66224
B774HN,52.61275,-1.65297
B774LS,52.61711,-1.65434
B775LA,52.60683,-1.66539
B775LF,52.60523,-1.66549
B775LU,52.60252,-1.66235
B781DZ,52.62000,-1.60855
B781PJ,52.60419,-1.61711
B781QT,52.61054,-1.62051
B781QU,52.60766,-1.61981
B782HW,52.56779,-1.68438
B782LF,52.56621,-1.68311
B783AD,52.64377,-1.73683
B783NH,52.61884,-1.72671
B783RQ,52.61261,-1.70055
B783TX,52.59903,-1.71562
B790AP,52.69582,-1.62442
B790HP,52.62999,-1.58165
B790NL,52.66515,-1.58717
B797EL,52.63684,-1.69907
B798AH,52.64059,-1.69130
B798EF,52.64667,-1.70496
B798EN,52.64790,-1.70501
B798LX,52.64825,-1.71143
B798QZ,52.64604,-1.69452
B798RU,52.64694,-1.68827
B799AA,52.65100,-1.70397
B799DB,52.69212,-1.72220
B799DX,52.65628,-1.69184
B799JJ,52.70653,-1.68905
B807DR,52.29905,-1.87556
B807HJ,52.27277,-1.89644
B807ND,52.26796,-1.89405
B807QU,52.27071,-1.89771
B807QX,52.27000,-1.89998
B81DZ,52.48382,-1.86092
B81HN,52.48807,-1.85974
B81JB,52.49147,-1.85832
B82AS,52.49003,-1.82170
B82LQ,52.49160,-1.82802
B82PS,52.48700,-1.81801
B82RA,52.49811,-1.83115
B82SY,52.49180,-1.83344
B82TJ,52.49159,-1.83237
B82YH,52.49768,-1.84794
B83AN,52.48721,-1.84586
B83AX,52.48583,-1.84815
B83DT,52.48783,-1.84257
B83HG,52.49048,-1.84551
B83QF,52.49387,-1.84931
B83SF,52.48397,-1.84970
B901BT,52.40607,-1.85181
B901HR,52.40588,-1.85762
B901NA,52.38859,-1.83918
B901QW,52.38067,-1.85118
B902AZ,52.40471,-1.83467
B902BT,52.40819,-1.82788
B902EJ,52.41227,-1.83334
B902JW,52.40669,-1.83773
B902PX,52.39927,-1.82644
B902PZ,52.39937,-1.83079
B903DS,52.40435,-1.81887
B903LB,52.41536,-1.81726
B903QX,52.41123,-1.81565
B904AY,52.39836,-1.82077
B904EH,52.39135,-1.78484
B904HG,52.38158,-1.81035
B904LE,52.39905,-1.80641
B904SA,52.40156,-1.80565
B911DY,52.42574,-1.80307
B911PH,52.41409,-1.80643
B911SN,52.40618,-1.79731
B912AZ,52.42361,-1.78174
B912HW,52.42549,-1.77726
B912SD,52.42240,-1.76316
B913DW,52.41105,-1.77471
B913JG,52.40538,-1.77654
B913LQ,52.40047,-1.80201
B913NZ,52.40543,-1.78886
B913PD,52.40454,-1.79398
B920AY,52.42554,-1.70112
B927DJ,52.42494,-1.81235
B927EB,52.43517,-1.81156
B927EG,52.43114,-1.81224
B927ER,52.42858,-1.81187
B927QF,52.44561,-1.79757
B927QW,52.44863,-1.79419
B927RR,52.44303,-1.80261
B928EJ,52.44814,-1.78951
B928LW,52.44775,-1.77698
B928QL,52.44324,-1.78880
B928RZ,52.43624,-1.78439
B929JY,52.42966,-1.76251
B929LX,52.43063,-1.76597
B930AJ,52.38340,-1.70697
B930AN,52.38184,-1.69690
B930JE,52.38935,-1.73081
B930PT,52.38353,-1.74126
B938EU,52.37603,-1.75044
B938PA,52.37967,-1.74967
B939AS,52.38571,-1.75826
B945AJ,52.33327,-1.83480
B946DE,52.37113,-1.82128
B946LT,52.33895,-1.72463
B946RA,52.35229,-1.77998
B94NG,52.47646,-1.86991
B94TR,52.47826,-1.85734
B955FT,52.29135,-1.77448
B955LT,52.29083,-1.77407
B956AD,52.28587,-1.77939
B956AF,52.28660,-1.77877
B956AY,52.26696,-1.78286
B95BG,52.47576,-1.85986
B95QA,52.47599,-1.83185
B95RX,52.48386,-1.83198
B95SX,52.47752,-1.83491
B95UN,52.48120,-1.82999
B95XX,52.47817,-1.83869
B966BD,52.25382,-1.93737
B966EH,52.26376,-1.93808
B966QD,52.25623,-1.98183
B974NU,52.29569,-1.94595
B975AQ,52.28895,-1.95413
B975BL,52.28836,-1.95250
B975JH,52.28094,-1.94210
B975LX,52.27162,-1.94685
B975RJ,52.29721,-1.96907
B975RR,52.29817,-1.97120
B976HF,52.31484,-1.95369
B976HT,52.30879,-1.95324
B976PD,52.30762,-1.96333
B976PQ,52.30817,-1.96336
B980GD,52.29394,-1.89537
B980HF,52.29244,-1.89949
B980LH,52.30505,-1.89867
B980PB,52.30317,-1.88988
B980UB,52.30171,-1.89657
B987HA,52.30252,-1.92792
B987HH,52.29711,-1.92366
B987JU,52.29765,-1.92683
B987RY,52.28733,-1.91538
B987UH,52.28204,-1.91001
B987UZ,52.28502,-1.91786
B988HB,52.30876,-1.93599
B988HF,52.31229,-1.93057
B988HW,52.31284,-1.93244
B988LU,52.30532,-1.92929
B989AN,52.32378,-1.89344
B989HR,52.31182,-1.90392
B989LR,52.31724,-1.90354
BA100DF,51.10535,-2.46317
BA100DP,51.11267,-2.45597
BA111EU,51.22883,-2.32510
BA111QG,51.22864,-2.31946
